eventID,parentEventID,samplingProtocol,samplingEffort,decimalLatitude,decimalLongitude,eventDate,type,language,license,rightsHolder,datasetID,institutionCode,datasetName,habitat,country,geodeticDatum,coordinateUncertaintyInMeters
DIGITAF_FLANDERS:SAMPLE:Mb:crop:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.970043,3.755069,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb:crop:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.970043,3.755069,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.969597,3.755234,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.969597,3.755234,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.970682,3.754116,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Mb,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.970682,3.754116,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Mb1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.962509,3.764582,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Mb1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.962509,3.764582,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Mb1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.96162,3.764554,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Mb1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Mb1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.96162,3.764554,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:crop:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.98959,3.828819,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:crop:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.98959,3.828819,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.988918,3.828591,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.988918,3.828591,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.989864,3.829628,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.989864,3.829628,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me1:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.99086,3.820881,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me1:crtl:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Me1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.99086,3.820881,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me1:tree:Pitfall:Trap1,DIGITAF_FLANDERS:LOCATION:Me1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.992008,3.820138,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me1:tree:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me1,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.992008,3.820138,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
DIGITAF_FLANDERS:SAMPLE:Me2:crtl:Pitfall:Trap2,DIGITAF_FLANDERS:LOCATION:Me2,pitfall,"1 trap for 14 days, Ø 9 cm, depth 11 cm, antifreeze",50.988483,3.808303,2023-06-12,Event,en,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Ghent University,,UGent,Landscape mitigation effects for improvements of biodiversity levels in tree rows next to cereal fields,agricultural landscape,Belgium,EPSG:4326,5
