"","Loc","Type","Spec","Trapnr","Sex","Comments","Method","Det","Stage","Number","Family","Order","Spec_group","lat","lng","date","occurrenceID"
"11","Bo","crop","Tenuiphantes tenuis",2,"M","","Pitfall","Johan Van Keer","Ad",2,"Linyphiidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:d1b926cb433b6986"
"12","Bo","crop","Aleochara bipustulata",1,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:3f8a9bc98a9498b2"
"13","Bo","crop","Lasius fuliginosus",2,"F","","Pitfall","Wouter Dekoninck","Ad",3,"Formicidae","Hymenoptera","ants",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:6acd2667e41c87a4"
"14","Bo","crop","Polydesmus coriaceus",1,"F","","Pitfall","Pallieter De Smedt","Ad",1,"Polydesmidae","Polydesmida","millipedes",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:fcb14438eb2dda51"
"15","Bo","crop","Loricera pilicornis",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:a45dce2e9f4aa6b5"
"16","Bo","crop","Tachyporus hypnorum",1,"","","Pitfall","Marc Vankerckvoorde","Ad",2,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:8338977f85c52935"
"17","Bo","crop","Tenuiphantes tenuis",1,"F","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:954f97276403219c"
"18","Bo","crop","Philonthus splendens",2,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:55104295cffc4b4d"
"19","Bo","crop","Diplocephalus graecus",2,"M","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:e347efc4be87e399"
"20","Bo","crop","Bembidion obtusum",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:f50ff651596f2ec2"
"21","Bo","crop","Trechus quadristriatus",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:adde3ee25f614074"
"22","Bo","crop","Anotylus insecatus",1,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:5abf048b215f87b5"
"23","Bo","crop","Demetrias atricapillus",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",3,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:a55e93df2bba3254"
"24","Bo","crop","Xantholinus longiventris",2,"","","Pitfall","Marc Vankerckvoorde","Ad",2,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:5ed876d2588e2aa2"
"25","Bo","crop","Aleocharinae spec.",2,"","","Pitfall","Marc Vankerckvoorde","Ad",9,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:d23b932bde36f9af"
"26","Bo","crop","Tenuiphantes tenuis",2,"F","","Pitfall","Johan Van Keer","Ad",2,"Linyphiidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:082b30a73926d5d3"
"27","Bo","crop","Polydesmus inconstans",2,"F","","Pitfall","Pallieter De Smedt","Ad",2,"Polydesmidae","Polydesmida","millipedes",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:04b4434aa5287f4a"
"28","Bo","crop","Brachyiulus pusillus",2,"F","","Pitfall","Pallieter De Smedt","Ad",1,"Julidae","Julida","millipedes",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:a523f0887c3b5bd6"
"29","Bo","crop","Anotylus rugosus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",5,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:ef0820b4dfd51a50"
"30","Bo","crop","Coprophilus striatulus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:7d0810568adcbca8"
"31","Bo","crop","Anotylus insecatus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",3,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:d554fc895e154a45"
"32","Bo","crop","Amara aenea",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:f0e49e6e425a967e"
"33","Bo","crop","Demetrias atricapillus",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:380c81131d4fc153"
"34","Bo","crop","Philonthus laminatus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",2,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:048c42a3a026932a"
"35","Bo","crop","Anotylus sculpturatus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",2,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:6a790c38b4f587a0"
"36","Bo","crop","Loricera pilicornis",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:025ec354ddd7f232"
"37","Bo","crop","Philonthus carbonarius",2,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:2fa2dc47ab1bbaec"
"38","Bo","crop","Porrhomma microphthalmum",1,"F","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:0a3ee20c791ef2f5"
"39","Bo","crop","Philonthus spec.",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:7d4458da837f618e"
"40","Bo","crop","Lasius brunneus",1,"F","","Pitfall","Wouter Dekoninck","Ad",3,"Formicidae","Hymenoptera","ants",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:f5325cac69735d91"
"41","Bo","crop","Xysticus cristatus",2,"M","","Pitfall","Johan Van Keer","Ad",1,"Thomisidae","Araneae","spiders",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:dcd5050dfe5ebc6d"
"42","Bo","crop","Pterostichus vernalis",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:0c687a903c393b84"
"43","Bo","crop","Philonthus laminatus",1,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:a2ff4333d4ba5490"
"44","Bo","crop","Tachyporus nitidulus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:38c6981133545d7c"
"45","Bo","crop","Anchomenus dorsalis",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",2,"Carabidae","Coleoptera","carabid beetles",50.799289554817,4.81360686265912,2023-06-13,"DIGITAF_FLANDERS:bfbb0bd8dd9f1ab3"
"46","Bo","crtl","Lasius brunneus",2,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:1eee76bc0a30e8d3"
"47","Bo","crtl","Philoscia muscorum",1,"","","Pitfall","Pallieter De Smedt","Ad",1,"Philosciidae","Isopoda","woodlice",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:6207b9f7fa5dabf7"
"48","Bo","crtl","Badister bullatus",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:57c2b1ec23341385"
"49","Bo","crtl","Drassyllus pusillus",2,"F","","Pitfall","Johan Van Keer","Ad",2,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:6fe3c9c6e85c0a3d"
"50","Bo","crtl","Lasius niger",1,"F","","Pitfall","Wouter Dekoninck","Ad",12,"Formicidae","Hymenoptera","ants",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:953233e4796c3c25"
"51","Bo","crtl","Pardosa palustris",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Lycosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:29a6cf25afb81ff2"
"52","Bo","crtl","Diplostyla concolor",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:8a4e7987ce08bdea"
"53","Bo","crtl","Diplocephalus graecus",1,"M","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:96317b821110f7b1"
"54","Bo","crtl","Trachyzelotes pedestris",1,"F","","Pitfall","Johan Van Keer","Ad",2,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:7e8b470c5711a97a"
"55","Bo","crtl","Tenuiphantes tenuis",2,"M","","Pitfall","Johan Van Keer","Ad",2,"Linyphiidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:0a7b90e01791ce48"
"56","Bo","crtl","Trachyzelotes pedestris",1,"M","","Pitfall","Johan Van Keer","Ad",11,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:189bd1ec984f59de"
"57","Bo","crtl","Homalenotus quadridentatus",1,"","","Pitfall","Pallieter De Smedt","Juv",1,"Sclerosomatidae","Opiliones","harvestmen",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:c3b76e4bef540119"
"58","Bo","crtl","Harpalus affinis",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:53a23c90774313be"
"59","Bo","crtl","Nebria salina",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:b14c9be0941edaf2"
"60","Bo","crtl","Nebria salina",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:91fe38104aebec49"
"61","Bo","crtl","Drassyllus lutetianus",1,"M","","Pitfall","Johan Van Keer","Ad",1,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:4a11e22bc596cf5a"
"62","Bo","crtl","Trachyzelotes pedestris",2,"F","","Pitfall","Johan Van Keer","Ad",2,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:1e9081669170550d"
"63","Bo","crtl","Lasius brunneus",2,"M","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:ed8d22ee4f3a1eec"
"64","Bo","crtl","Lasius fuliginosus",2,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:d2e7ae6ce0805ffd"
"65","Bo","crtl","Drassyllus pusillus",2,"M","","Pitfall","Johan Van Keer","Ad",3,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:8e14203254068062"
"66","Bo","crtl","Diplostyla concolor",1,"M","","Pitfall","Johan Van Keer","Ad",1,"Linyphiidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:8ff6d853cd315ec0"
"67","Bo","crtl","Trachyzelotes pedestris",2,"M","","Pitfall","Johan Van Keer","Ad",9,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:3fc8bbe49c8d8cf1"
"68","Bo","crtl","Euophrys frontalis",2,"M","","Pitfall","Johan Van Keer","Ad",1,"Salticidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:0084564396796f8b"
"69","Bo","crtl","Armadillidium vulgare",2,"","","Pitfall","Pallieter De Smedt","Ad",29,"Armadillidiidae","Isopoda","woodlice",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:e8de1668d53fd6e9"
"70","Bo","crtl","Drassyllus pusillus",1,"M","","Pitfall","Johan Van Keer","Ad",1,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:48a1a6b5c7395b01"
"71","Bo","crtl","Anchomenus dorsalis",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:9ed52f60f863b08f"
"72","Bo","crtl","Drassyllus lutetianus",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Gnaphosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:58f76c0431c16737"
"73","Bo","crtl","Anotylus insecatus",2,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:fce8b2cb6535cf8c"
"74","Bo","crtl","Phrurolithus festivus",1,"M","","Pitfall","Johan Van Keer","Ad",2,"Phrurolithidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:b4dcf5076d9367e7"
"75","Bo","crtl","Armadillidium vulgare",1,"","","Pitfall","Pallieter De Smedt","Ad",8,"Armadillidiidae","Isopoda","woodlice",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:5c06e9358f38c2e5"
"76","Bo","crtl","Lasius niger",2,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:c6d1b37efa5bca19"
"77","Bo","crtl","Phalangium opilio",2,"","","Pitfall","Pallieter De Smedt","Juv",1,"Phalangiidae","Opiliones","harvestmen",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:d82ead5e49813a36"
"78","Bo","crtl","Piratula latitans",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Lycosidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:82dca947c53e8aba"
"79","Bo","crtl","Tenuiphantes tenuis",2,"F","","Pitfall","Léon Baert","Ad",1,"Linyphiidae","Araneae","spiders",50.80072,4.812192,2023-06-13,"DIGITAF_FLANDERS:0b801cabd9a10aff"
"80","Bo","tree","Philoscia muscorum",2,"","","Pitfall","Pallieter De Smedt","Ad",65,"Philosciidae","Isopoda","woodlice",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:e6deeca5b3728a52"
"81","Bo","tree","Lasius brunneus",2,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:025e4f954aeb408c"
"82","Bo","tree","Porcellio scaber",2,"","","Pitfall","Pallieter De Smedt","Ad",13,"Porcellionidae","Isopoda","woodlice",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:503c97c887e299ce"
"83","Bo","tree","Phrurolithus festivus",2,"M","","Pitfall","Léon Baert","Ad",1,"Phrurolithidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:4a235af2749db9b9"
"84","Bo","tree","Phrurolithus festivus",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Phrurolithidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:b8c72aae4dafff77"
"85","Bo","tree","Phrurolithus festivus",2,"M","","Pitfall","Johan Van Keer","Ad",1,"Phrurolithidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:18bd1f580bed2479"
"86","Bo","tree","Pardosa pullata",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Lycosidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:0346d1197792f157"
"87","Bo","tree","Phrurolithus festivus",1,"M","","Pitfall","Johan Van Keer","Ad",3,"Phrurolithidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:dd4b4f15e442d38b"
"88","Bo","tree","Rugilus subtilis",1,"","","Pitfall","Marc Vankerckvoorde","Ad",1,"Staphylinidae","Coleoptera","staphylinid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:b03f7a1c59a974c8"
"89","Bo","tree","Ozyptila praticola",2,"M","","Pitfall","Johan Van Keer","Ad",2,"Thomisidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:c454daab5a901a94"
"90","Bo","tree","Anchomenus dorsalis",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:b6a0b515ca3b7bf2"
"91","Bo","tree","Bembidion tetracolum",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",2,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:54b01190cebe4fa7"
"92","Bo","tree","Ballus chalybeius",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Salticidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:428469859633fea8"
"93","Bo","tree","Lasius fuliginosus",2,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:4d2bbfd7834c3959"
"94","Bo","tree","Phrurolithus festivus",1,"F","","Pitfall","Johan Van Keer","Ad",3,"Phrurolithidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:5250f956634b8bdc"
"95","Bo","tree","Polydesmus coriaceus",1,"F","","Pitfall","Pallieter De Smedt","Ad",1,"Polydesmidae","Polydesmida","millipedes",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:e8af95b4ae2ce9f2"
"96","Bo","tree","Lithobius forficatus",2,"","","Pitfall","Koen Lock","Ad",1,"Lithobiidae","Lithobiomorpha","centipedes",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:89eee6ca536ca62d"
"97","Bo","tree","Armadillidium vulgare",2,"","","Pitfall","Pallieter De Smedt","Ad",18,"Armadillidiidae","Isopoda","woodlice",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:8a03e2ec5d9aa627"
"98","Bo","tree","Lasius brunneus",1,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:8fa1f2735301d5ad"
"99","Bo","tree","Lasius fuliginosus",1,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:f19e25f715a321fe"
"100","Bo","tree","Trachyzelotes pedestris",1,"M","","Pitfall","Johan Van Keer","Ad",8,"Gnaphosidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:4c28cc8a23633983"
"101","Bo","tree","Lasius niger",2,"F","","Pitfall","Wouter Dekoninck","Ad",17,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:a4e8f85c066f1e9a"
"102","Bo","tree","Lasius platythorax",1,"F","","Pitfall","Wouter Dekoninck","Ad",1,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:99bd5610ca2269fb"
"103","Bo","tree","Lasius niger",1,"F","","Pitfall","Wouter Dekoninck","Ad",29,"Formicidae","Hymenoptera","ants",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:93a23db7d3e6d95b"
"104","Bo","tree","Trochosa terricola",2,"F","","Pitfall","Johan Van Keer","Ad",1,"Lycosidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:bd49f418ffa0441b"
"105","Bo","tree","Poecilus versicolor",2,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:8571c0c2804fa5a0"
"106","Bo","tree","Anchomenus dorsalis",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",4,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:ed66f691ca22a4a6"
"107","Bo","tree","Amara similata",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:11bfb131703edf15"
"108","Bo","tree","Trachyzelotes pedestris",1,"F","","Pitfall","Johan Van Keer","Ad",4,"Gnaphosidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:ec80ee5236cf4abe"
"109","Bo","tree","Haplodrassus silvestris",1,"F","","Pitfall","Johan Van Keer","Ad",1,"Gnaphosidae","Araneae","spiders",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:d291298e36fba5b2"
"110","Bo","tree","Lithobius microps",2,"","","Pitfall","Koen Lock","Ad",1,"Lithobiidae","Lithobiomorpha","centipedes",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:4de57d25f514abe1"
"111","Bo","tree","Polydesmus inconstans",2,"M","","Pitfall","Pallieter De Smedt","Ad",2,"Polydesmidae","Polydesmida","millipedes",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:4b590c45d9970e07"
"112","Bo","tree","Brachydesmus superus",2,"F","","Pitfall","Pallieter De Smedt","Ad",1,"Polydesmidae","Polydesmida","millipedes",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:73fb1ecb73956b30"
"113","Bo","tree","Panagaeus cruxmajor",1,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.798534,4.814494,2023-06-13,"DIGITAF_FLANDERS:1d3923f5701f6e33"
"114","Bo1","crtl","Pterostichus melanarius",2,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.830734,4.813417,2023-06-13,"DIGITAF_FLANDERS:f366b625df18e4fa"
"115","Bo1","crtl","Polydesmus coriaceus",2,"F","","Pitfall","Pallieter De Smedt","Ad",2,"Polydesmidae","Polydesmida","millipedes",50.830734,4.813417,2023-06-13,"DIGITAF_FLANDERS:36b917224c42057e"
"116","Bo1","crtl","Poecilus cupreus",1,"F","","Pitfall","Marc Vankerckvoorde","Ad",10,"Carabidae","Coleoptera","carabid beetles",50.830734,4.813417,2023-06-13,"DIGITAF_FLANDERS:c854c85c8e1c2346"
"117","Bo1","crtl","Poecilus versicolor",1,"M","","Pitfall","Marc Vankerckvoorde","Ad",2,"Carabidae","Coleoptera","carabid beetles",50.830734,4.813417,2023-06-13,"DIGITAF_FLANDERS:db67b3249994f149"
"118","Bo1","crtl","Amara communis",1,"M","","Pitfall","Marc Vankerckvoorde","Ad",1,"Carabidae","Coleoptera","carabid beetles",50.830734,4.813417,2023-06-13,"DIGITAF_FLANDERS:287fcc657878249a"
