"","Loc","Type","Sampletime","Spec","Flower","Det","Sex","Method","Stage","Number","Family","Order","lat","lng","date","Spec_group","occurrenceID"
"50","Bo2","crtl",1,"Eristalis pertinax","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804672,5.00229,2023-06-12,"syrphids","DIGITAF_FLANDERS:3ce7e84447a15146"
"51","Bo2","crtl",1,"Eristalis tenax","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804672,5.00229,2023-06-12,"syrphids","DIGITAF_FLANDERS:9c6d5b94f66b6f5f"
"52","Bo2","crtl",1,"Sphaerophoria scripta","Matricaria","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",50.804672,5.00229,2023-06-12,"syrphids","DIGITAF_FLANDERS:e379a0475b072b02"
"53","Bo2","crtl",2,"Melanostoma scalare","Rumex","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804672,5.00229,2023-09-06,"syrphids","DIGITAF_FLANDERS:09b1e3ac90d5a420"
"54","Bo2","crtl",2,"Pararge aegeria","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.804672,5.00229,2023-09-06,"butterflies","DIGITAF_FLANDERS:984996b4e4f64abc"
"55","Bo2","crtl",2,"Pieris brassicae","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.804672,5.00229,2023-09-06,"butterflies","DIGITAF_FLANDERS:2ffd01b229bf83bb"
"56","Bo2","crtl",2,"Melanostoma mellinum","Rumex","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",4,"Syrphidae","Diptera",50.804672,5.00229,2023-09-06,"syrphids","DIGITAF_FLANDERS:6ac870b2ed69da33"
"57","Bo2","tree",1,"Bombus lapidarius","Papaver, Centaurea, Phacelia","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.804695,5.003687,2023-06-12,"bees","DIGITAF_FLANDERS:163de33e97ba23b1"
"58","Bo2","tree",1,"Bombus pascuorum","Phacelia","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.804695,5.003687,2023-06-12,"bees","DIGITAF_FLANDERS:91eb46f0e96360ec"
"59","Bo2","tree",1,"Bombus terrestris/lucorum/magnus/cryptarum","Papaver","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",50.804695,5.003687,2023-06-12,"bees","DIGITAF_FLANDERS:8734bdf8ab27e348"
"60","Bo2","tree",1,"Diptera indet.","Centaurea",NA,"","15' Transect","Ad",1,NA,"Diptera",50.804695,5.003687,2023-06-12,"flies","DIGITAF_FLANDERS:5ddda047750e4427"
"61","Bo2","tree",1,"Episyrphus balteatus","Papaver","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-06-12,"syrphids","DIGITAF_FLANDERS:ab2edf395eacf357"
"62","Bo2","tree",1,"Oedemera lurida/virescens","Leucanthemum","Jari Vandendriessche","","15' Transect","Ad",1,"Oedemeridae","Coleoptera",50.804695,5.003687,2023-06-12,"beetles","DIGITAF_FLANDERS:02493477f5335555"
"63","Bo2","tree",1,"Eristalis nemorum","Papaver","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-06-12,"syrphids","DIGITAF_FLANDERS:74feb0cfa0423bed"
"64","Bo2","tree",1,"Lasioglossum malachurum","","Jens D'Haeseleer","F","15' Transect","Ad",1,"Halictidae","Hymenoptera",50.804695,5.003687,2023-06-12,"bees","DIGITAF_FLANDERS:3bd82480a34a8596"
"65","Bo2","tree",1,"Platycheirus albimanus","Leucanthemum","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-06-12,"syrphids","DIGITAF_FLANDERS:9c590b85b97bc148"
"66","Bo2","tree",1,"Paracorymbia fulva","Leucanthemum","Jari Vandendriessche","","15' Transect","Ad",1,"Cerambycidae","Coleoptera",50.804695,5.003687,2023-06-12,"beetles","DIGITAF_FLANDERS:b363c659e30f5900"
"67","Bo2","tree",1,"Sphaerophoria scripta","Leucanthemum","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-06-12,"syrphids","DIGITAF_FLANDERS:0bcf93e0b5a43913"
"68","Bo2","tree",2,"Lucilia spec.","","Jari Vandendriessche","","15' Transect","Ad",1,"Calliphoridae","Diptera",50.804695,5.003687,2023-09-06,"flies","DIGITAF_FLANDERS:965ea9985fa211c8"
"69","Bo2","tree",2,"Pieris napi","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.804695,5.003687,2023-09-06,"butterflies","DIGITAF_FLANDERS:bcb65e626eb9ca2a"
"70","Bo2","tree",2,"Pieris rapae","","Jari Vandendriessche","","15' Transect","Ad",2,"Pieridae","Lepidoptera",50.804695,5.003687,2023-09-06,"butterflies","DIGITAF_FLANDERS:4194c5bc986cfd60"
"71","Bo2","tree",2,"Eristalis arbustorum","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-09-06,"syrphids","DIGITAF_FLANDERS:3486bf9f3e633a22"
"72","Bo2","tree",2,"Sphaerophoria scripta","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.804695,5.003687,2023-09-06,"syrphids","DIGITAF_FLANDERS:e171530a9e9e7169"
"73","Bo2","tree",2,"Vanessa atalanta","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.804695,5.003687,2023-09-06,"butterflies","DIGITAF_FLANDERS:d0f75a02ca6a97a4"
"74","Ge1","crtl",1,"Aglaostigma aucupariae","","Augustijn De Ketelaere","F","15' Transect","Ad",1,"Tenthredinidae","Hymenoptera",51.011478,3.685224,2023-05-25,"wasps","DIGITAF_FLANDERS:a617689dc443e10d"
"75","Ge1","crtl",1,"Bombus pratorum","Solanum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.011478,3.685224,2023-05-25,"bees","DIGITAF_FLANDERS:db402b27fc5bcc37"
"76","Ge1","crtl",1,"Bombus terrestris/lucorum/magnus/cryptarum","Solanum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.011478,3.685224,2023-05-25,"bees","DIGITAF_FLANDERS:c6324ecb2e3109b2"
"77","Ge1","crtl",1,"Episyrphus balteatus","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",51.011478,3.685224,2023-05-25,"syrphids","DIGITAF_FLANDERS:3ccd5dace0a30ddb"
"78","Ge1","crtl",1,"Panorpa communis","","Jari Vandendriessche","","15' Transect","Ad",1,"Panorpidae","Mecoptera",51.011478,3.685224,2023-05-25,"other","DIGITAF_FLANDERS:143970549a22d406"
"79","Ge1","crtl",2,"Pararge aegeria","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",51.011478,3.685224,2023-09-07,"butterflies","DIGITAF_FLANDERS:c4ccee4183a2cb86"
"80","Ge1","crtl",2,"Pieris brassicae","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",51.011478,3.685224,2023-09-07,"butterflies","DIGITAF_FLANDERS:555bfc63a1e936c2"
"81","Ge1","crtl",2,"Vespa crabro","","Jari Vandendriessche","","15' Transect","Ad",1,"Vespidae","Hymenoptera",51.011478,3.685224,2023-09-07,"wasps","DIGITAF_FLANDERS:c4fac4dbd8e92aa2"
"82","Ge1","tree",1,"Bombus hypnorum","Symphytum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.01141,3.686242,2023-05-25,"bees","DIGITAF_FLANDERS:3adce4ede3b94722"
"83","Ge1","tree",1,"Bombus pascuorum","Symphytum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.01141,3.686242,2023-05-25,"bees","DIGITAF_FLANDERS:ccd356a2c8459030"
"84","Ge1","tree",1,"Episyrphus balteatus","Ranunculus","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",51.01141,3.686242,2023-05-25,"syrphids","DIGITAF_FLANDERS:5de6ce670be733bd"
"85","Ge1","tree",1,"Bombus pratorum","Symphytum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.01141,3.686242,2023-05-25,"bees","DIGITAF_FLANDERS:b91d034b508408d9"
"86","Ge1","tree",1,"Bombus terrestris/lucorum/magnus/cryptarum","Symphytum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.01141,3.686242,2023-05-25,"bees","DIGITAF_FLANDERS:f933f36590784ea2"
