"","Loc","Type","Spec","Family","Order","lat","lng","date","Sampletime","Spec_group","Det","Stage","Sex","Method","occurrenceID"
"62","TW","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:035a01fb2c4e94e3"
"63","TW1","crop","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:2845940d21a896fc"
"64","TW1","crop","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:3bd1238f8a791982"
"65","TW1","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:26197fac7e0763af"
"66","TW1","crop","Nyctalus noctula","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f66d9011dc3184df"
"67","TW1","crtl","Nyctalus noctula","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:8d28affb3d585d31"
"68","TW1","crtl","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:64a6b7c83d596010"
"69","TW1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:2e7da29d74d113cc"
"70","TW1","tree","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.953194,4.724807,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:1d33912e36c5ca77"
"71","TW1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.953194,4.724807,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:7387cc09349522c3"
"72","TW2","crtl","Nyctalus noctula/Nyctalus leisleri","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:811044ac86581288"
"73","TW2","crtl","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:66ccdb2e40f40620"
"74","TW2","crtl","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:5ce1166fa8cb259d"
"75","TW2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:696ea47d22a21aa3"
"76","TW2","tree","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:18308281280c90e6"
"77","TW2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:dc7993dc4ed9ae89"
"78","TW2","tree","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:a6e5d568db4ffa57"
"79","TW2","tree","Nyctalus noctula/Nyctalus leisleri","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:48256f6f6a26a6fc"
"80","TW3","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.927067,4.925451,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:a6487fbf0aeb85c1"
"81","TW3","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.927067,4.925451,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:09e03af242357afe"
"82","TW3","crtl","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.927067,4.925451,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f29157607f5cf79c"
"83","TW3","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.926302,4.92707,2023-06-28,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:0c87aff6fac765f7"
"84","Zo","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.106331,3.55805,2023-05-19,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:bce97221308d3d09"
"85","Zo","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.106567,3.557371,2023-05-19,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:ab94356cc4c52b66"
"86","Zo","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.105865,3.556603,2023-05-19,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:a5518545c16c4be8"
"87","Zo1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.107437,3.567569,2023-05-18,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:2c4ec75fa47771a6"
"88","Zo1","crtl","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",51.107437,3.567569,2023-05-18,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:16579fb05c57134d"
"89","Zo1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.107109,3.566462,2023-05-18,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:e0b1257b7f94817e"
"90","Zo2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.112732,3.537079,2023-05-19,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f8576e86ac693b7f"
"91","Zw","crop","Nyctalus leisleri","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:84e4cf35c3084577"
"92","Zw","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:39ad50fca90fa602"
"93","Zw","crop","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:c6d17c3fbd47af88"
"94","Zw","crtl","Nyctalus leisleri","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:6b1be6cae3e9211c"
"95","Zw","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:9c5bb475d7ee87fa"
"96","Zw","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:4873c184ab273648"
"97","Zw","tree","Nyctalus leisleri","Vespertilionidae","Chiroptera",50.85034873,3.71592082647387,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:155389c7530766a5"
"98","Zw","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.85034873,3.71592082647387,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:eb335d3544c5b9a2"
"99","Zw","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.85034873,3.71592082647387,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:af6c543fbc9a1317"
"100","Zw1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.875347,3.7624,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:40b08421f028b649"
"101","Zw2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:fa02994831cc9351"
"102","Zw2","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:f7cf6a01b2426add"
"103","Zw2","tree","Myotis daubentonii","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:bbfaa0fd0fcc77e0"
"104","Zw2","tree","Plecotus auritus/Plecotus austriacus","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:d19684b99f9fb254"
"105","Zw2","tree","Cnephaeus serotinus","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"bats","Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording","DIGITAF_FLANDERS:d64e66ae0bc0cd69"
